Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_14_27,VGND,li1,18.1700,48.9600,0.000000
FILLER_14_19,VGND,li1,16.1000,48.9600,0.000000
FILLER_14_7,VGND,li1,11.5000,48.9600,0.000000
FILLER_13_184,VGND,li1,90.6200,48.9600,0.000000
FILLER_13_169,VGND,li1,83.7200,48.9600,0.000000
FILLER_13_165,VGND,li1,82.1100,48.9600,0.000000
FILLER_13_157,VGND,li1,79.5800,48.9600,0.000000
FILLER_13_145,VGND,li1,74.9800,48.9600,0.000000
FILLER_13_121,VGND,li1,61.8700,48.9600,0.000000
FILLER_13_113,VGND,li1,59.3400,48.9600,0.000000
FILLER_13_111,VGND,li1,56.8100,48.9600,0.000000
FILLER_13_100,VGND,li1,53.3600,48.9600,0.000000
FILLER_13_76,VGND,li1,42.3200,48.9600,0.000000
FILLER_13_64,VGND,li1,35.4200,48.9600,0.000000
FILLER_13_49,VGND,li1,28.9800,48.9600,0.000000
FILLER_13_32,VGND,li1,22.0800,48.9600,0.000000
FILLER_13_3,VGND,li1,7.1300,48.9600,0.000000
FILLER_12_183,VGND,li1,90.3900,43.5200,0.000000
FILLER_12_145,VGND,li1,72.4500,43.5200,0.000000
FILLER_12_141,VGND,li1,71.3000,43.5200,0.000000
FILLER_12_138,VGND,li1,69.4600,43.5200,0.000000
FILLER_12_130,VGND,li1,65.5500,43.5200,0.000000
FILLER_12_118,VGND,li1,62.5600,43.5200,0.000000
FILLER_12_106,VGND,li1,54.7400,43.5200,0.000000
FILLER_12_88,VGND,li1,46.9200,43.5200,0.000000
FILLER_12_82,VGND,li1,43.7000,43.5200,0.000000
FILLER_12_46,VGND,li1,27.1400,43.5200,0.000000
FILLER_12_36,VGND,li1,23.0000,43.5200,0.000000
FILLER_12_3,VGND,li1,7.5900,43.5200,0.000000
FILLER_11_185,VGND,li1,90.8500,43.5200,0.000000
FILLER_11_158,VGND,li1,78.8900,43.5200,0.000000
FILLER_11_145,VGND,li1,72.4500,43.5200,0.000000
FILLER_11_141,VGND,li1,71.3000,43.5200,0.000000
FILLER_11_137,VGND,li1,68.7700,43.5200,0.000000
FILLER_11_129,VGND,li1,66.7000,43.5200,0.000000
FILLER_11_121,VGND,li1,61.6400,43.5200,0.000000
FILLER_11_104,VGND,li1,54.2800,43.5200,0.000000
FILLER_11_80,VGND,li1,43.0100,43.5200,0.000000
FILLER_11_55,VGND,li1,31.0500,43.5200,0.000000
FILLER_11_43,VGND,li1,28.0600,43.5200,0.000000
FILLER_11_31,VGND,li1,20.0100,43.5200,0.000000
FILLER_11_23,VGND,li1,17.9400,43.5200,0.000000
FILLER_11_11,VGND,li1,13.3400,43.5200,0.000000
FILLER_10_179,VGND,li1,88.5500,38.0800,0.000000
FILLER_10_169,VGND,li1,83.7200,38.0800,0.000000
FILLER_10_161,VGND,li1,81.4200,38.0800,0.000000
FILLER_10_133,VGND,li1,66.9300,38.0800,0.000000
FILLER_10_108,VGND,li1,55.8900,38.0800,0.000000
FILLER_10_100,VGND,li1,53.3600,38.0800,0.000000
FILLER_10_93,VGND,li1,48.7600,38.0800,0.000000
FILLER_10_72,VGND,li1,38.8700,38.0800,0.000000
FILLER_10_56,VGND,li1,31.7400,38.0800,0.000000
FILLER_10_40,VGND,li1,24.1500,38.0800,0.000000
FILLER_10_29,VGND,li1,19.5500,38.0800,0.000000
FILLER_10_25,VGND,li1,17.7100,38.0800,0.000000
FILLER_10_13,VGND,li1,14.2600,38.0800,0.000000
FILLER_10_3,VGND,li1,7.1300,38.0800,0.000000
FILLER_9_185,VGND,li1,90.8500,38.0800,0.000000
FILLER_9_181,VGND,li1,89.7000,38.0800,0.000000
FILLER_9_169,VGND,li1,86.0200,38.0800,0.000000
FILLER_9_156,VGND,li1,80.0400,38.0800,0.000000
FILLER_9_152,VGND,li1,75.6700,38.0800,0.000000
FILLER_9_143,VGND,li1,71.5300,38.0800,0.000000
FILLER_9_137,VGND,li1,69.9200,38.0800,0.000000
